source,target,distance_hc2l,time_microseconds,disconnected_hc2l,distance_dijkstra,disconnected_dijkstra,abs_error_m,match,disconnected
12833,3479,560,0,False,591,False,31,False,False
8205,5744,300,0,False,301,False,1,True,False
13183,10994,780,0,False,780,False,0,True,False
9394,1753,942,0,False,1040,False,98,False,False
7198,11404,224,0,False,224,False,0,True,False
10574,8427,853,0,False,906,False,53,False,False
13197,1205,776,1,False,815,False,39,False,False
9486,2900,222,0,False,222,False,0,True,False
7730,624,893,0,False,919,False,26,False,False
10076,9672,835,0,False,899,False,64,False,False
7197,5879,360,0,False,361,False,1,True,False
408,5506,32,0,False,32,False,0,True,False
12974,2518,723,1,False,815,False,92,False,False
1316,10370,1089,0,False,1089,False,0,True,False
7685,11387,620,0,False,631,False,11,False,False
706,6234,1229,0,False,1256,False,27,False,False
3453,8875,758,0,False,765,False,7,False,False
10903,6544,477,0,False,504,False,27,False,False
2688,8995,684,0,False,702,False,18,False,False
2789,1772,571,0,False,598,False,27,False,False
6997,8463,916,1,False,1011,False,95,False,False
1219,4807,1176,0,False,1340,False,164,False,False
7335,7852,380,0,False,425,False,45,False,False
9323,537,683,0,False,861,False,178,False,False
4057,8853,753,0,False,802,False,49,False,False
11538,8212,741,0,False,825,False,84,False,False
8167,12562,454,0,False,488,False,34,False,False
13527,8882,427,0,False,492,False,65,False,False
8531,12360,682,0,False,766,False,84,False,False
8124,11575,437,0,False,653,False,216,False,False
394,2529,953,0,False,957,False,4,False,False
6710,11404,1030,0,False,1031,False,1,True,False
13334,1473,522,1,False,545,False,23,False,False
11320,6768,951,0,False,1058,False,107,False,False
11403,3751,394,0,False,524,False,130,False,False
598,5258,931,1,False,946,False,15,False,False
2280,10144,332,0,False,405,False,73,False,False
13149,1878,653,0,False,655,False,2,False,False
3216,9706,1216,0,False,1216,False,0,True,False
6283,1696,945,0,False,971,False,26,False,False
11479,1113,808,0,False,809,False,1,True,False
4530,10337,560,0,False,615,False,55,False,False
197,2284,308,0,False,312,False,4,False,False
11026,10098,782,0,False,908,False,126,False,False
9804,13366,460,0,False,549,False,89,False,False
1945,2387,872,0,False,890,False,18,False,False
8166,7231,1009,0,False,1010,False,1,True,False
5897,7210,963,0,False,1031,False,68,False,False
5086,10681,158,0,False,178,False,20,False,False
12884,10204,460,0,False,510,False,50,False,False
777,9322,704,0,False,704,False,0,True,False
562,13381,897,1,False,897,False,0,True,False
6118,9129,667,1,False,667,False,0,True,False
4773,6458,436,1,False,449,False,13,False,False
9756,2796,639,0,False,710,False,71,False,False
9353,2826,534,0,False,631,False,97,False,False
7983,6964,232,1,False,233,False,1,True,False
12629,6874,120,0,False,121,False,1,True,False
1443,7745,1036,0,False,1201,False,165,False,False
8710,2119,773,1,False,774,False,1,True,False
1267,12012,956,0,False,956,False,0,True,False
6505,1336,960,0,False,1216,False,256,False,False
7126,5144,838,0,False,865,False,27,False,False
11198,13435,796,1,False,932,False,136,False,False
8463,1839,776,0,False,1223,False,447,False,False
10742,4862,849,1,False,929,False,80,False,False
9241,11624,375,0,False,375,False,0,True,False
2547,1517,311,0,False,330,False,19,False,False
4388,12085,493,0,False,494,False,1,True,False
2666,765,630,0,False,633,False,3,False,False
12090,3147,1007,0,False,1052,False,45,False,False
1371,4991,1288,0,False,1347,False,59,False,False
2576,13535,707,0,False,717,False,10,False,False
1968,11639,302,0,False,327,False,25,False,False
12498,5147,928,0,False,931,False,3,False,False
8721,8994,354,0,False,356,False,2,False,False
122,13475,964,0,False,967,False,3,False,False
5327,13353,697,0,False,739,False,42,False,False
11792,2529,385,0,False,386,False,1,True,False
6289,11592,680,0,False,709,False,29,False,False
3890,8314,606,1,False,610,False,4,False,False
1619,9955,877,0,False,1091,False,214,False,False
5805,12401,242,1,False,242,False,0,True,False
3599,3454,443,0,False,444,False,1,True,False
60,9876,822,0,False,891,False,69,False,False
5217,4605,562,1,False,565,False,3,False,False
2465,750,699,0,False,735,False,36,False,False
8976,4624,459,0,False,608,False,149,False,False
2209,639,519,1,False,607,False,88,False,False
13166,5347,767,1,False,904,False,137,False,False
11612,3315,792,0,False,800,False,8,False,False
1700,5291,939,0,False,999,False,60,False,False
6267,10350,949,0,False,992,False,43,False,False
5946,7474,822,1,False,877,False,55,False,False
12936,11560,805,1,False,811,False,6,False,False
4803,9373,439,1,False,489,False,50,False,False
4866,1432,1104,1,False,1180,False,76,False,False
10480,7189,927,1,False,1106,False,179,False,False
8280,8517,872,0,False,905,False,33,False,False
